,kg_zone,R,G,B
0,Af,150,0,0
1,Am,255,0,0
2,As,255,110,110
3,Aw,255,204,204
4,BSh,204,141,20
5,BSk,204,170,84
6,BWh,255,204,0
7,BWk,255,255,100
8,Cfa,0,120,0
9,Cfb,0,80,0
10,Cfc,0,50,0
11,Csa,150,255,0
12,Csb,0,215,0
13,Csc,0,170,0
14,Cwa,190,190,0
15,Cwb,140,140,0
16,Cwc,90,90,0
17,Dfa,85,0,85
18,Dfb,130,0,130
19,Dfc,200,0,200
20,Dfd,255,110,255
21,Dsa,100,100,100
22,Dsb,140,140,140
23,Dsc,190,190,190
24,Dsd,230,230,230
25,Dwa,110,40,180
26,Dwb,180,100,250
27,Dwc,200,155,250
28,Dwd,200,200,255
29,EF,100,150,255
30,ET,100,255,255
31,Ocean,245,255,255
