<Source> SigmaCalc 1.6. File created () </Source> 
<Created> 03/12/2011 10:03:46 by CJ </Created> 
<Reaction> "12C(4He,4He)12C" </Reaction> 
<EnergyRange>  1765,   7168 </EnergyRange> 
<AnglesNumber>  26 </AnglesNumber> 
<EnergiesNumber>  219 </EnergiesNumber> 
<Data> 
,     2,   3,   5,   10,   20,   30,   40,   60,   80,   90,   100,   110,   130,   140,   145,   150,   153,   156,   158,   160,   162,   164,   167,   170,   175,   180,  
 1765,   0,   1,   1,   1,   1.001,   1.008,   .997,   .995,   .948,   .962,   .996,   1.024,   1.024,   1.004,   .992,   .98,   .973,   .967,   .963,   .959,   .956,   .953,   .949,   .946,   .942,   .941,  
 1816,   0,   1,   1,   1,   1.002,   1.008,   .997,   .995,   .946,   .961,   .995,   1.024,   1.024,   1.002,   .989,   .977,   .969,   .963,   .958,   .955,   .951,   .948,   .943,   .94,   .936,   .935,  
 1858,   0,   1,   1,   1,   1.002,   1.008,   .997,   .995,   .946,   .959,   .993,   1.023,   1.022,   1,   .986,   .973,   .965,   .958,   .954,   .95,   .946,   .943,   .938,   .934,   .93,   .929,  
 1866,   0,   1,   1,   1,   1.002,   1.008,   .997,   .994,   .945,   .959,   .993,   1.022,   1.022,   .999,   .986,   .972,   .965,   .957,   .953,   .949,   .945,   .941,   .937,   .933,   .929,   .928,  
 1916,   0,   1,   1,   1,   1.002,   1.008,   .997,   .994,   .944,   .958,   .991,   1.021,   1.019,   .995,   .981,   .967,   .959,   .951,   .946,   .942,   .938,   .934,   .929,   .925,   .921,   .919,  
 1966,   0,   1,   1,   1,   1.003,   1.009,   .997,   .994,   .943,   .956,   .989,   1.019,   1.016,   .99,   .975,   .96,   .951,   .943,   .938,   .933,   .929,   .925,   .92,   .916,   .911,   .91,  
 2016,   0,   1,   1,   1,   1.003,   1.009,   .997,   .993,   .942,   .954,   .987,   1.016,   1.011,   .983,   .967,   .951,   .942,   .934,   .928,   .923,   .919,   .914,   .909,   .905,   .9,   .898,  
 2067,   0,   1,   1,   1,   1.003,   1.01,   .997,   .993,   .941,   .952,   .984,   1.012,   1.004,   .975,   .958,   .941,   .931,   .922,   .916,   .911,   .906,   .902,   .896,   .891,   .886,   .884,  
 2117,   0,   1,   1,   1,   1.003,   1.011,   .997,   .992,   .94,   .949,   .98,   1.007,   .996,   .964,   .946,   .928,   .918,   .908,   .902,   .896,   .891,   .887,   .88,   .875,   .87,   .868,  
 2167,   0,   1,   1,   1,   1.003,   1.012,   .997,   .991,   .939,   .947,   .976,   1.001,   .986,   .952,   .932,   .913,   .902,   .892,   .885,   .879,   .874,   .869,   .862,   .857,   .851,   .849,  
 2217,   0,   1,   1,   1,   1.003,   1.013,   .997,   .99,   .938,   .944,   .971,   .994,   .974,   .936,   .916,   .895,   .884,   .873,   .866,   .86,   .854,   .848,   .842,   .836,   .83,   .828,  
 2268,   0,   1,   1,   1,   1.004,   1.015,   .998,   .988,   .936,   .94,   .965,   .985,   .958,   .918,   .896,   .874,   .861,   .85,   .843,   .836,   .83,   .824,   .817,   .811,   .804,   .802,  
 2318,   0,   1,   1,   1,   1.004,   1.018,   .998,   .986,   .935,   .937,   .958,   .974,   .94,   .896,   .872,   .849,   .836,   .824,   .816,   .809,   .802,   .796,   .788,   .782,   .775,   .773,  
 2368,   0,   1,   1,   1,   1.004,   1.021,   .998,   .984,   .934,   .933,   .949,   .961,   .918,   .871,   .845,   .82,   .806,   .793,   .785,   .777,   .77,   .764,   .756,   .749,   .742,   .74,  
 2418,   0,   1,   1,   1,   1.005,   1.024,   .997,   .981,   .932,   .928,   .94,   .946,   .893,   .841,   .813,   .787,   .772,   .758,   .75,   .742,   .734,   .728,   .719,   .712,   .704,   .702,  
 2468,   0,   1,   1,   .999,   1.006,   1.029,   .997,   .977,   .931,   .923,   .929,   .929,   .863,   .806,   .776,   .748,   .733,   .718,   .709,   .701,   .693,   .686,   .677,   .67,   .662,   .659,  
 2519,   0,   1,   1,   .999,   1.008,   1.034,   .995,   .972,   .929,   .917,   .916,   .908,   .828,   .765,   .734,   .704,   .687,   .672,   .662,   .654,   .645,   .638,   .629,   .621,   .613,   .61,  
 2569,   0,   1,   1,   .998,   1.01,   1.04,   .993,   .966,   .927,   .91,   .901,   .883,   .787,   .719,   .686,   .654,   .637,   .621,   .611,   .602,   .594,   .586,   .576,   .569,   .56,   .557,  
 2619,   0,   1,   1.001,   .997,   1.013,   1.047,   .99,   .959,   .925,   .902,   .883,   .855,   .741,   .667,   .632,   .599,   .581,   .565,   .555,   .545,   .537,   .529,   .519,   .511,   .503,   .5,  
 2620,   0,   1,   1.001,   .997,   1.013,   1.048,   .989,   .959,   .925,   .902,   .883,   .854,   .74,   .666,   .631,   .598,   .58,   .564,   .553,   .544,   .536,   .528,   .518,   .51,   .501,   .499,  
 2670,   0,   .999,   1.001,   .996,   1.017,   1.056,   .984,   .949,   .922,   .892,   .862,   .82,   .687,   .608,   .572,   .538,   .519,   .503,   .493,   .483,   .475,   .467,   .457,   .45,   .441,   .438,  
