FREGAT DEB (TANK)       
1 37756U 11037B   21280.50794500  .00000505  00000-0  12768-3 0  9990
2 37756  51.4530 217.5517 1903300 264.5906  73.6177 11.27165633420433
FREGAT DEB              
1 45614U 11037H   21281.16505215 -.00009288  00000-0 -11696-1 0  9994
2 45614  51.2107 197.3322 1517663 290.2699  54.1643 11.45233354 58862
FREGAT DEB              
1 45615U 11037J   21281.06264147  .00120785  00000-0  15257-1 0  9991
2 45615  51.5107 157.4011 1624993 305.3466  40.5855 11.94697992 58739
FREGAT DEB              
1 45616U 11037K   21280.73620432 -.00015518  00000-0 -10938-1 0  9998
2 45616  51.4232 196.2962 1614143 282.9139  59.6823 11.48489753 58758
FREGAT DEB              
1 45617U 11037L   21279.73952446  .00241791  00000-0  16427-1 0  9991
2 45617  51.5178  74.3234 1183731   6.7486 354.7867 12.99626318 60823
FREGAT DEB              
1 45618U 11037M   21281.02649596  .00020225  00000-0  50838-2 0  9998
2 45618  51.4350 163.4946 1653877 306.1010  39.7496 11.72094682 59164
FREGAT DEB              
1 45620U 11037P   21280.46195846  .00004740  00000-0  10214-2 0  9990
2 45620  51.4613 208.3469 1870502 271.0884  67.7442 11.33422061 57908
FREGAT DEB              
1 45621U 11037Q   21280.55808940  .00052470  00000-0  14605-1 0  9997
2 45621  51.3311 315.2012 0689001 111.1648 256.4267 13.57619805 62425
FREGAT DEB              
1 45622U 11037R   21280.80481207  .00026567  00000-0  18844-2 0  9997
2 45622  51.5286 359.8322 1547266  72.0791 304.2275 12.23435477 61375
FREGAT DEB              
1 45630U 11037W   21280.92758229  .00127550  00000-0  10162-1 0  9998
2 45630  51.5047 103.4560 0244036 277.1459  80.1811 14.78985864 66297
FREGAT DEB              
1 45631U 11037X   21280.62827500  .00001428  00000-0  76706-3 0  9998
2 45631  51.3688 254.6930 1838025 237.7167 103.2479 11.16174318 55662
FREGAT DEB              
1 45632U 11037Y   21280.60841487  .00005082  00000-0  15660-2 0  9998
2 45632  51.4343 251.6157 1893070 237.0365 103.4337 11.19915870 55703
FREGAT DEB              
1 45634U 11037AA  21280.97751553  .00545036  00000-0  42601-1 0  9996
2 45634  51.6390 174.2462 1439752 297.4751  48.7001 12.42999701 57343
FREGAT DEB              
1 45635U 11037AB  21281.02989452  .00006948  00000-0  24131-2 0  9998
2 45635  51.4984 285.9650 1971428 205.1629 143.8868 11.01358691 54910
FREGAT DEB              
1 45636U 11037AC  21281.15791542  .00097021  00000-0  18899-1 0  9999
2 45636  51.4189 183.7935 1652932 293.8094  49.8281 11.78659552 57174
FREGAT DEB              
1 45637U 11037AD  21274.42970306  .04186128  00000-0  89255-1 0  9994
2 45637  51.1086 273.4534 0401338 139.1455 224.0329 14.86432403 62019
FREGAT DEB              
1 45638U 11037AE  21280.14009134  .00007397  00000-0  82898-3 0  9997
2 45638  51.4468 183.1986 1892626 293.2890  48.0209 11.43443408 56881
FREGAT DEB              
1 45639U 11037AF  21281.08917772  .00124804  00000-0  21841-1 0  9990
2 45639  51.4843 180.9373 1620273 290.4576  52.9977 11.87850967 57271
FREGAT DEB              
1 45640U 11037AG  21280.99569048  .00311824  00000-0  22585+0 0  9994
2 45640  51.3158 190.1984 2326231   5.9927 356.4185 10.12899366 48905
FREGAT DEB              
1 45641U 11037AH  21280.82787141  .00008210  00000-0  10259-2 0  9993
2 45641  51.5202  32.2689 1561168  46.0870 325.8687 12.08606053 60815
FREGAT DEB              
1 45643U 11037AK  21280.42075258  .00022934  00000-0  64886-1 0  9993
2 45643  51.1379  17.4824 0853380 110.8909 258.5367 12.23336845 60932
FREGAT DEB              
1 45644U 11037AL  21280.72815810 -.00007854  00000-0 -33230-2 0  9999
2 45644  51.4643  81.2617 1369542  12.8767 350.3647 12.11955573 59331
FREGAT DEB              
1 45645U 11037AM  21280.47533596  .00027711  00000-0  63304-2 0  9997
2 45645  51.4334 188.9556 1744745 288.0447  53.8471 11.56478327 56657
FREGAT DEB              
1 45647U 11037AP  21280.79121346  .00078868  00000-0  16935-1 0  9996
2 45647  51.4208 337.5301 0671846  85.8119 281.9227 13.70051204 61061
FREGAT DEB              
1 45648U 11037AQ  21278.02665445  .00011055  00000-0  10653-2 0  9990
2 45648  51.4556 171.6226 1868653 302.3905  40.9390 11.51263940 56669
FREGAT DEB              
1 45649U 11037AR  21280.31119561 -.00001144  00000-0 -21181-2 0  9997
2 45649  51.5561 232.3348 1471941 249.8408  93.8436 11.35406940 56131
FREGAT DEB              
1 45650U 11037AS  21280.43387487  .00001194  00000-0  26614-3 0  9996
2 45650  51.4747 185.8206 1832255 287.9783  53.0372 11.41884311 56823
FREGAT DEB              
1 45651U 11037AT  21280.59416696  .00003864  00000-0  65914-3 0  9991
2 45651  51.5779  72.2854 1606882  10.2932 352.7059 11.92359637 59127
FREGAT DEB              
1 45811U 11037AV  21280.79521743  .00026626  00000-0  22483-1 0  9994
2 45811  51.2717 115.5241 1373770 352.9310   5.3791 11.87535894 58047
FREGAT DEB              
1 45812U 11037AW  21277.85090312 -.00022466  00000-0 -14104+0 0  9990
2 45812  51.7304 317.9321 1280039 199.0291 155.8145 11.10639933 54062
FREGAT DEB              
1 45813U 11037AX  21280.55474070 -.00021535  00000-0 -24226-1 0  9993
2 45813  51.6084 229.3811 1575696 247.5899  95.0875 11.39089426 55733
FREGAT DEB              
1 45814U 11037AY  21278.96385440 -.00002769  00000-0 -78938-2 0  9996
2 45814  51.2431 264.5441 1444891 246.9938  97.2311 11.22432688 55042
FREGAT DEB              
1 45815U 11037AZ  21280.27501468 -.00001685  00000-0 -14862-2 0  9996
2 45815  51.4559 247.2080 1699004 235.4380 107.4424 11.23524760 55206
FREGAT DEB              
1 45816U 11037BA  21281.24436887  .00001765  00000-0  47301-3 0  9999
2 45816  51.4869 233.6236 1909762 248.0819  90.6826 11.21117363 55153
FREGAT DEB              
