Ion = Helium      , Mass = 3.016
Tgt = Be (Solid), Density = 1.8 g/cm3
Stopping Units =  eV/(1E15 atoms/cm2)
Energy(keV)  S(Elec)    S(Nuc)
1.245E+04   4.604E+00  2.149E-03 
1.245E+04   4.604E+00  2.149E-03 
1.245E+04   4.604E+00  2.149E-03 
1.245E+04   4.603E+00  2.149E-03 
1.246E+04   4.603E+00  2.149E-03 
1.246E+04   4.603E+00  2.149E-03 
1.246E+04   4.603E+00  2.149E-03 
1.246E+04   4.603E+00  2.149E-03 
1.246E+04   4.602E+00  2.149E-03 
1.246E+04   4.602E+00  2.149E-03 
1.246E+04   4.602E+00  2.148E-03 
1.246E+04   4.602E+00  2.148E-03 
1.246E+04   4.602E+00  2.148E-03 
1.246E+04   4.601E+00  2.148E-03 
1.246E+04   4.601E+00  2.148E-03 
1.246E+04   4.601E+00  2.148E-03 
1.246E+04   4.601E+00  2.148E-03 
1.246E+04   4.601E+00  2.148E-03 
1.246E+04   4.600E+00  2.148E-03 
1.246E+04   4.600E+00  2.148E-03 
1.247E+04   4.600E+00  2.147E-03 
1.247E+04   4.600E+00  2.147E-03 
1.247E+04   4.600E+00  2.147E-03 
1.247E+04   4.599E+00  2.147E-03 
1.247E+04   4.599E+00  2.147E-03 
1.247E+04   4.599E+00  2.147E-03 
1.247E+04   4.599E+00  2.147E-03 
1.247E+04   4.599E+00  2.147E-03 
1.247E+04   4.599E+00  2.147E-03 
1.247E+04   4.598E+00  2.147E-03 
1.247E+04   4.598E+00  2.146E-03 
1.247E+04   4.598E+00  2.146E-03 
1.247E+04   4.598E+00  2.146E-03 
1.247E+04   4.598E+00  2.146E-03 
1.247E+04   4.597E+00  2.146E-03 
1.248E+04   4.597E+00  2.146E-03 
1.248E+04   4.597E+00  2.146E-03 
1.248E+04   4.597E+00  2.146E-03 
1.248E+04   4.597E+00  2.146E-03 
1.248E+04   4.596E+00  2.146E-03 
1.248E+04   4.596E+00  2.145E-03 
1.248E+04   4.596E+00  2.145E-03 
1.248E+04   4.596E+00  2.145E-03 
1.248E+04   4.596E+00  2.145E-03 
1.248E+04   4.595E+00  2.145E-03 
1.248E+04   4.595E+00  2.145E-03 
1.248E+04   4.595E+00  2.145E-03 
1.248E+04   4.595E+00  2.145E-03 
1.248E+04   4.595E+00  2.145E-03 
1.248E+04   4.594E+00  2.145E-03 
1.249E+04   4.594E+00  2.144E-03 
1.249E+04   4.594E+00  2.144E-03 
1.249E+04   4.594E+00  2.144E-03 
1.249E+04   4.594E+00  2.144E-03 
1.249E+04   4.594E+00  2.144E-03 
1.249E+04   4.593E+00  2.144E-03 
1.249E+04   4.593E+00  2.144E-03 
1.249E+04   4.593E+00  2.144E-03 
1.249E+04   4.593E+00  2.144E-03 
1.249E+04   4.593E+00  2.144E-03 
1.249E+04   4.592E+00  2.143E-03 
1.249E+04   4.592E+00  2.143E-03 
1.249E+04   4.592E+00  2.143E-03 
1.249E+04   4.592E+00  2.143E-03 
1.249E+04   4.592E+00  2.143E-03 
1.250E+04   4.591E+00  2.143E-03 
1.250E+04   4.591E+00  2.143E-03 
1.250E+04   4.591E+00  2.143E-03 
1.250E+04   4.591E+00  2.143E-03 
1.250E+04   4.591E+00  2.143E-03 
1.250E+04   4.590E+00  2.142E-03 
1.250E+04   4.590E+00  2.142E-03 
1.250E+04   4.590E+00  2.142E-03 
1.250E+04   4.590E+00  2.142E-03 
1.250E+04   4.590E+00  2.142E-03 
1.250E+04   4.590E+00  2.142E-03 
1.250E+04   4.589E+00  2.142E-03 
1.250E+04   4.589E+00  2.142E-03 
1.250E+04   4.589E+00  2.142E-03 
1.250E+04   4.589E+00  2.142E-03 
1.250E+04   4.589E+00  2.141E-03 
1.251E+04   4.588E+00  2.141E-03 
1.251E+04   4.588E+00  2.141E-03 
1.251E+04   4.588E+00  2.141E-03 
1.251E+04   4.588E+00  2.141E-03 
1.251E+04   4.588E+00  2.141E-03 
1.251E+04   4.587E+00  2.141E-03 
1.251E+04   4.587E+00  2.141E-03 
1.251E+04   4.587E+00  2.141E-03 
1.251E+04   4.587E+00  2.141E-03 
1.251E+04   4.587E+00  2.140E-03 
1.251E+04   4.586E+00  2.140E-03 
1.251E+04   4.586E+00  2.140E-03 
1.251E+04   4.586E+00  2.140E-03 
1.251E+04   4.586E+00  2.140E-03 
1.251E+04   4.586E+00  2.140E-03 
1.252E+04   4.586E+00  2.140E-03 
1.252E+04   4.585E+00  2.140E-03 
1.252E+04   4.585E+00  2.140E-03 
