X-ray Energies (in keV)

MAXZ 92

DATA
12  Mg
1.2530 1.3022 0.0000 


0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


13  Al
1.4865 1.5574 0.0000 


0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


14  Si
1.7396 1.8359 0.0000 


0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


15  P 
2.0137 2.1390 0.0000 


0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


16  S 
2.3070 2.4650 0.0000 


0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


17  Cl
2.6220 2.8156 0.0000 


0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


18  Ar
2.9570 3.1905 0.0000 


0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


19  K 
3.3130 3.5890 0.0000 


0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


20  Ca
3.6900 4.0130 0.0000 


0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


21  Sc
4.0900 4.4605 0.0000 


0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


22  Ti
4.5100 4.9320 0.0000 


0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


23  V 
4.9510 5.4270 0.0000 


0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


24  Cr
5.4140 5.9467 0.0000 


0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


25  Mn
5.8987 6.4905 0.0000 


0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


26  Fe
6.4038 7.0580 0.0000 


0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


27  Co
6.9290 7.6494 0.0000 


0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


28  Ni
7.4770 8.2647 0.0000 


0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


29  Cu
8.0460 8.9029 0.0000 


0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


30  Zn
8.6370 9.5720 9.6580 


1.0117 0.0000 0.0000 

1.0347 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


31  Ga
9.2517 10.2630 10.3663 


1.0979 0.0000 0.0000 

1.1248 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


32  Ge
9.8850 10.9800 11.1008 


1.1880 0.0000 1.0362 

1.2185 0.0000 1.0680 

1.2940 1.2860 0.0000 


0.0000 0.0000 0.0000 


33  As
10.5437 11.7262 11.8642 


1.2820 0.0000 1.1198 

1.3170 0.0000 1.1550 

1.3884 0.0000 0.0000 


0.0000 0.0000 0.0000 


34  Se
11.2224 12.4959 12.6522 


1.3790 0.0000 1.2044 

1.4190 0.0000 1.2446 

1.4900 0.0000 0.0000 


0.0000 0.0000 0.0000 


35  Br
11.9242 13.2914 13.4695 


1.4800 0.0000 1.2935 

1.5260 0.0000 1.3396 

1.5960 0.0000 0.0000 


0.0000 0.0000 0.0000 


36  Kr
12.6490 14.1120 14.3150 


1.5860 0.0000 0.0000 

1.6360 0.0000 0.0000 

1.7070 0.0000 0.0000 


0.0000 0.0000 0.0000 


37  Rb
13.9530 14.9613 15.1854 


1.6940 0.0000 1.4824 

1.7520 0.0000 1.5418 

1.8266 0.0000 0.0000 


0.0000 0.0000 0.0000 


38  Sr
14.1650 15.8357 16.0846 


1.8060 0.0000 1.5822 

1.8710 0.0000 1.6493 

1.9472 0.0000 0.0000 


0.0000 0.0000 0.0000 


39  Y 
14.9584 16.7378 17.0154 


1.9220 0.0000 1.6854 

1.9950 0.0000 1.7610 

2.0722 0.0000 0.0000 


0.0000 0.0000 0.0000 


40  Zr
15.7751 17.6678 17.9700 


2.0420 2.2194 1.7920 

2.1240 2.3027 1.8765 

2.2010 0.0000 0.0000 


0.0000 0.0000 0.0000 


41  Nb
16.6151 18.6225 18.9530 


2.1660 2.3670 1.9023 

2.2570 2.4618 1.9962 

2.3348 0.0000 0.0000 


0.0000 0.0000 0.0000 


42  Mo
17.4793 19.6083 19.9652 


2.2930 2.5180 2.0157 

2.3940 2.6235 2.1202 

2.4730 0.0000 0.0000 


0.0000 0.0000 0.0000 


43  Tc
18.3671 20.6190 21.0050 


2.4240 0.0000 0.0000 

2.5368 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


44  Ru
19.2760 21.6530 22.0700 


2.5580 2.8350 2.2528 

2.6830 2.9645 2.3820 

2.7634 0.0000 0.0000 


0.0000 0.0000 0.0000 


45  Rh
20.2130 22.7200 23.1690 


2.6960 3.0010 2.3765 

2.8340 3.1438 2.5191 

2.9157 0.0000 0.0000 


0.0000 0.0000 0.0000 


46  Pd
21.1740 23.8150 24.3950 


2.8380 3.1710 2.5034 

2.9900 3.3287 2.6603 

3.0730 0.0000 0.0000 


0.0000 0.0000 0.0000 


47  Ag
22.1590 24.9380 25.4520 


2.9840 3.3470 2.6337 

3.1500 3.5196 2.8061 

3.2345 3.2035 3.7498 


0.0000 0.0000 0.0000 


48  Cd
23.1720 26.0930 26.6410 


3.1330 3.5280 2.7674 

3.3160 3.7169 2.9568 

3.4015 3.3672 0.0000 


0.0000 0.0000 0.0000 


49  In
24.2097 27.2759 27.8608 


3.2860 3.7130 2.9044 

3.4870 3.9208 3.1125 

3.5731 3.5353 4.1605 


0.0000 0.0000 0.0000 


50  Sn
25.2713 28.4860 29.1093 


3.4430 3.9040 3.0450 

3.6620 4.1311 3.2723 

3.7500 3.7083 4.3768 


0.0000 0.0000 0.0000 


51  Sb
26.2760 29.7256 30.3895 


3.6040 4.1000 3.1886 

3.8430 4.3478 3.4366 

3.9327 3.8864 4.5999 


0.0000 0.0000 0.0000 


52  Te
27.3820 30.9957 31.7004 


3.7690 4.3010 3.3356 

4.0290 4.5709 3.6059 

4.1204 4.0695 4.8290 


0.0000 0.0000 0.0000 


53  I 
28.5140 32.2394 33.0420 


3.9370 4.5070 3.4850 

4.2200 4.8009 3.7801 

4.3134 4.2575 5.0657 


0.0000 0.0000 0.0000 


54  Xe
0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 

0.0000 0.0000 0.0000 


0.0000 0.0000 0.0000 


55  Cs
30.9728 34.9869 35.8220 


4.2860 4.9350 3.7950 

4.6190 5.2804 4.1421 

4.7167 4.6494 5.5527 


0.0000 0.0000 0.0000 


56  Ba
32.1936 36.3782 37.2570 


4.4650 5.1560 3.9541 

4.8270 5.5311 4.3309 

4.9269 4.8519 5.8092 


0.0000 0.0000 0.0000 


