<Source>H.R.Worthington,  J.N.Mcgruer, D.E.Findley</Source> 
<Created> File created 12-07-2010 by Nuno P. Barradas</Created> 
<Comment> some extrapolations, careful! </Comment> 
<Reaction>  </Reaction> 
<EnergyRange> </EnergyRange>
<AnglesNumber>  12 </AnglesNumber> 
<EnergiesNumber>  8 </EnergiesNumber> 
<Data> 
, 7.1, 11.2, 16.3, 20, 25, 30, 35, 40, 45, 50, 55, 60
1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
1855, 0.7, 0.87, 0.98, 1.52, 3.3, 6.63, 11.8, 18.99, 27.87, 30, 35, 45
1858, 0.7, 0.88, 0.98, 1.53, 3.31, 6.66, 11.84, 19.05, 27.96, 30, 35, 45
2425, 1.1, 0.91, 1.29, 2.32, 5.31, 10.68, 18.99, 30.42, 44.49, 60.96, 78.92, 95.8
3037, 1.02, 0.96, 1.66, 3.2, 7.49, 15.14, 26.64, 42.73, 62.65, 86.15, 111.78, 135.91
3527, 1.02, 0.98, 1.98, 3.96, 9.29, 18.79, 33.17, 52.95, 77.55, 106.48, 137.81, 160
3899, 1.02, 1.03, 2.21, 4.52, 10.65, 21.45, 37.77, 60.21, 88.44, 121.94, 157.45, 192.58
4023, 0.94, 0.69, 2.2, 4.55, 10.77, 21.67, 38.24, 60.78, 89.14, 122.57, 180, 250
</Data> 
