<Source>IBANDL 	I.Bondouk+(1974), Jour. Revue Roumaine de Physique, Vol.19, p.653 plus Nuno P. Barradas fit </Source>, 
<Created> File created 09-10-2009 17:17:27 by Nuno P. Barradas</Created> 
<Comment> </Comment>
<Reaction> </Reaction>
<EnergyRange> </EnergyRange>
<AnglesNumber> 6</AnglesNumber>
<EnergiesNumber> 123</EnergiesNumber>
<Data>
,10,98,122,137,145,180
1,1,1,1,1,1,1
1000,1,1,1,1,1,1
1260,1,1.10002,1.06134,1.089,1.0385,1.0385
1270,1,1.10117,1.06051,1.08742,1.03623,1.03623
1280,1,1.10217,1.05956,1.08566,1.0338,1.0338
1290,1,1.10303,1.05849,1.08372,1.03122,1.03122
1300,1,1.10376,1.05731,1.08161,1.02848,1.02848
1310,1,1.10435,1.05602,1.07933,1.0256,1.0256
1320,1,1.1048,1.05462,1.07688,1.02256,1.02256
1330,1,1.10512,1.05311,1.07427,1.01939,1.01939
1340,1,1.10532,1.0515,1.07151,1.01607,1.01607
1350,1,1.10538,1.04978,1.06858,1.01262,1.01262
1360,1,1.10531,1.04795,1.0655,1.00903,1.00903
1370,1,1.10512,1.04603,1.06228,1.00531,1.00531
1380,1,1.10481,1.044,1.05891,1.00146,1.00146
1390,1,1.10437,1.04188,1.05539,0.99749,0.99749
1400,1,1.10381,1.03966,1.05174,0.9934,0.9934
1410,1,1.10313,1.03735,1.04795,0.98918,0.98918
1420,1,1.10234,1.03495,1.04403,0.98485,0.98485
1430,1,1.10143,1.03245,1.03998,0.98041,0.98041
1440,1,1.10041,1.02987,1.03581,0.97585,0.97585
1450,1,1.09927,1.02719,1.03151,0.97119,0.97119
1460,1,1.09803,1.02444,1.02709,0.96643,0.96643
1470,1,1.09667,1.02159,1.02256,0.96156,0.96156
1480,1,1.09521,1.01867,1.01792,0.9566,0.9566
1490,1,1.09365,1.01567,1.01317,0.95154,0.95154
1500,1,1.09198,1.01258,1.00831,0.94639,0.94639
1510,1,1.09021,1.00942,1.00336,0.94115,0.94115
1520,1,1.08834,1.00619,0.9983,0.93582,0.93582
1530,1,1.08637,1.00288,0.99315,0.93041,0.93041
1540,1,1.08431,0.9995,0.98791,0.92493,0.92493
1550,1,1.08215,0.99604,0.98258,0.91936,0.91936
1560,1,1.0799,0.99252,0.97716,0.91372,0.91372
1570,1,1.07756,0.98894,0.97167,0.90801,0.90801
1580,1,1.07513,0.98529,0.96609,0.90224,0.90224
1590,1,1.07261,0.98157,0.96045,0.89639,0.89639
1600,1,1.07,0.9778,0.95473,0.89049,0.89049
1610,1,1.06731,0.97396,0.94894,0.88453,0.88453
1620,1,1.06454,0.97007,0.94309,0.87851,0.87851
1630,1,1.06169,0.96612,0.93718,0.87244,0.87244
1640,1,1.05876,0.96211,0.93121,0.86632,0.86632
1650,1,1.05575,0.95806,0.92518,0.86015,0.86015
1660,1,1.05266,0.95395,0.91911,0.85395,0.85395
1670,1,1.0495,0.94979,0.91299,0.8477,0.8477
1680,1,1.04627,0.94559,0.90682,0.84141,0.84141
1690,1,1.04297,0.94133,0.90062,0.83509,0.83509
1700,1,1.0396,0.93704,0.89437,0.82873,0.82873
1710,1,1.03616,0.9327,0.8881,0.82235,0.82235
1720,1,1.03266,0.92832,0.88179,0.81594,0.81594
1730,1,1.0291,0.92391,0.87545,0.80952,0.80952
1740,1,1.02547,0.91945,0.8691,0.80307,0.80307
1750,1,1.02178,0.91496,0.86272,0.7966,0.7966
1760,1,1.01804,0.91044,0.85632,0.79013,0.79013
1770,1,1.01423,0.90588,0.84992,0.78364,0.78364
1780,1,1.01038,0.9013,0.8435,0.77714,0.77714
1790,1,1.00647,0.89668,0.83707,0.77065,0.77065
1800,1,1.00251,0.89204,0.83065,0.76415,0.76415
1810,1,0.99849,0.88737,0.82422,0.75765,0.75765
1820,1,0.99444,0.88268,0.8178,0.75116,0.75116
1830,1,0.99033,0.87797,0.81138,0.74467,0.74467
1840,1,0.98618,0.87324,0.80497,0.7382,0.7382
1850,1,0.98199,0.86849,0.79858,0.73174,0.73174
1860,1,0.97775,0.86373,0.7922,0.7253,0.7253
1870,1,0.97348,0.85894,0.78585,0.71887,0.71887
1880,1,0.96917,0.85415,0.77952,0.71248,0.71248
1890,1,0.96483,0.84935,0.77322,0.7061,0.7061
1900,1,0.96045,0.84453,0.76694,0.69976,0.69976
1910,1,0.95603,0.83971,0.7607,0.69345,0.69345
1920,1,0.95159,0.83488,0.7545,0.68717,0.68717
1930,1,0.94712,0.83005,0.74834,0.68094,0.68094
1940,1,0.94262,0.82521,0.74223,0.67474,0.67474
1950,1,0.93809,0.82038,0.73616,0.66859,0.66859
1960,1,0.93355,0.81554,0.73014,0.66249,0.66249
1970,1,0.92897,0.81071,0.72418,0.65643,0.65643
1980,1,0.92438,0.80588,0.71828,0.65043,0.65043
1990,1,0.91977,0.80106,0.71243,0.64449,0.64449
2000,1,0.91515,0.79624,0.70665,0.63861,0.63861
2010,1,0.91051,0.79144,0.70094,0.63278,0.63278
2020,1,0.90585,0.78664,0.69531,0.62703,0.62703
2030,1,0.90119,0.78186,0.68974,0.62134,0.62134
2040,1,0.89651,0.7771,0.68426,0.61573,0.61573
2050,1,0.89183,0.77235,0.67885,0.61019,0.61019
2060,1,0.88714,0.76761,0.67353,0.60472,0.60472
2070,1,0.88244,0.7629,0.6683,0.59934,0.59934
2080,1,0.87774,0.75821,0.66317,0.59405,0.59405
2090,1,0.87304,0.75355,0.65812,0.58883,0.58883
2100,1,0.86834,0.7489,0.65318,0.58371,0.58371
2110,1,0.86365,0.74429,0.64834,0.57868,0.57868
2120,1,0.85895,0.7397,0.6436,0.57375,0.57375
2130,1,0.85427,0.73515,0.63897,0.56892,0.56892
2140,1,0.84959,0.73062,0.63445,0.56419,0.56419
2150,1,0.84492,0.72613,0.63005,0.55956,0.55956
2160,1,0.84026,0.72168,0.62577,0.55504,0.55504
2170,1,0.83561,0.71726,0.62161,0.55064,0.55064
2180,1,0.83098,0.71288,0.61758,0.54634,0.54634
2190,1,0.82636,0.70854,0.61368,0.54217,0.54217
2200,1,0.82176,0.70425,0.60991,0.53811,0.53811
2210,1,0.81718,0.7,0.60627,0.53418,0.53418
2220,1,0.81262,0.69579,0.60277,0.53037,0.53037
2230,1,0.80809,0.69163,0.59942,0.5267,0.5267
2240,1,0.80358,0.68752,0.59621,0.52315,0.52315
2250,1,0.79909,0.68347,0.59316,0.51974,0.51974
2260,1,0.79463,0.67946,0.59025,0.51647,0.51647
2270,1,0.79021,0.67551,0.5875,0.51334,0.51334
2280,1,0.78581,0.67162,0.58492,0.51036,0.51036
2290,1,0.78145,0.66778,0.58249,0.50752,0.50752
2300,1,0.77712,0.664,0.58023,0.50483,0.50483
2310,1,0.77283,0.66029,0.57814,0.5023,0.5023
2320,1,0.76858,0.65664,0.57623,0.49992,0.49992
2330,1,0.76437,0.65305,0.57449,0.49771,0.49771
2340,1,0.7602,0.64953,0.57293,0.49565,0.49565
2350,1,0.75608,0.64608,0.57156,0.49376,0.49376
2360,1,0.752,0.6427,0.57037,0.49204,0.49204
2370,1,0.74797,0.63939,0.56937,0.49049,0.49049
2380,1,0.74398,0.63615,0.56857,0.48912,0.48912
2390,1,0.74005,0.63299,0.56796,0.48792,0.48792
2400,1,0.73617,0.6299,0.56755,0.48691,0.48691
2410,1,0.73234,0.6269,0.56735,0.48608,0.48608
2420,1,0.72857,0.62397,0.56736,0.48543,0.48543
2430,1,0.72486,0.62113,0.56757,0.48498,0.48498
2440,1,0.7212,0.61837,0.568,0.48472,0.48472
2450,1,0.71761,0.6157,0.56865,0.48465,0.48465
2460,1,0.71408,0.61311,0.56951,0.48478,0.48478
</Data>
